Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
7.307: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0014539 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
7.347: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0015502 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.389: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0014177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.431: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184385K->14945K(281600K), 0.0011553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.471: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184417K->14945K(281600K), 0.0012725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.511: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184417K->14945K(281600K), 0.0014423 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.558: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184417K->14913K(281600K), 0.0013946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.598: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0016400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.639: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0014213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.679: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184385K->14945K(281600K), 0.0013143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.719: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184417K->14913K(281600K), 0.0014481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.760: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184385K->14913K(281600K), 0.0012759 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
7.800: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184385K->14945K(281600K), 0.0017325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.840: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184417K->14945K(281600K), 0.0012356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.880: [GC (Allocation Failure) [PSYoungGen: 169504K->64K(169984K)] 184417K->14977K(281600K), 0.0015421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.920: [GC (Allocation Failure) [PSYoungGen: 169536K->0K(169984K)] 184449K->14929K(281600K), 0.0015940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.961: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184401K->14961K(281600K), 0.0012693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
